2021-02-24 10:22:10,978  root       DEBUG   Processor path [programy.parser.template.nodes.sraix.TemplateSRAIXNode]
2021-02-24 10:22:10,978  root       DEBUG   Importing module [programy.parser.template.nodes.sraix]
2021-02-24 10:22:10,981  root       DEBUG   Instantiating class [TemplateSRAIXNode]
2021-02-24 10:22:10,981  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.get.TemplateGetNode]
2021-02-24 10:22:10,981  root       DEBUG   Processor path [programy.parser.template.nodes.get.TemplateGetNode]
2021-02-24 10:22:10,981  root       DEBUG   Importing module [programy.parser.template.nodes.get]
2021-02-24 10:22:10,981  root       DEBUG   Instantiating class [TemplateGetNode]
2021-02-24 10:22:10,981  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.set.TemplateSetNode]
2021-02-24 10:22:10,981  root       DEBUG   Processor path [programy.parser.template.nodes.set.TemplateSetNode]
2021-02-24 10:22:10,981  root       DEBUG   Importing module [programy.parser.template.nodes.set]
2021-02-24 10:22:10,983  root       DEBUG   Instantiating class [TemplateSetNode]
2021-02-24 10:22:10,983  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.map.TemplateMapNode]
2021-02-24 10:22:10,983  root       DEBUG   Processor path [programy.parser.template.nodes.map.TemplateMapNode]
2021-02-24 10:22:10,983  root       DEBUG   Importing module [programy.parser.template.nodes.map]
2021-02-24 10:22:10,985  root       DEBUG   Instantiating class [TemplateMapNode]
2021-02-24 10:22:10,985  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.bot.TemplateBotNode]
2021-02-24 10:22:10,985  root       DEBUG   Processor path [programy.parser.template.nodes.bot.TemplateBotNode]
2021-02-24 10:22:10,985  root       DEBUG   Importing module [programy.parser.template.nodes.bot]
2021-02-24 10:22:10,985  root       DEBUG   Instantiating class [TemplateBotNode]
2021-02-24 10:22:10,985  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.think.TemplateThinkNode]
2021-02-24 10:22:10,985  root       DEBUG   Processor path [programy.parser.template.nodes.think.TemplateThinkNode]
2021-02-24 10:22:10,985  root       DEBUG   Importing module [programy.parser.template.nodes.think]
2021-02-24 10:22:10,987  root       DEBUG   Instantiating class [TemplateThinkNode]
2021-02-24 10:22:10,987  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.normalise.TemplateNormalizeNode]
2021-02-24 10:22:10,987  root       DEBUG   Processor path [programy.parser.template.nodes.normalise.TemplateNormalizeNode]
2021-02-24 10:22:10,987  root       DEBUG   Importing module [programy.parser.template.nodes.normalise]
2021-02-24 10:22:10,988  root       DEBUG   Instantiating class [TemplateNormalizeNode]
2021-02-24 10:22:10,988  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.denormalise.TemplateDenormalizeNode]
2021-02-24 10:22:10,988  root       DEBUG   Processor path [programy.parser.template.nodes.denormalise.TemplateDenormalizeNode]
2021-02-24 10:22:10,988  root       DEBUG   Importing module [programy.parser.template.nodes.denormalise]
2021-02-24 10:22:10,989  root       DEBUG   Instantiating class [TemplateDenormalizeNode]
2021-02-24 10:22:10,989  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.person.TemplatePersonNode]
2021-02-24 10:22:10,989  root       DEBUG   Processor path [programy.parser.template.nodes.person.TemplatePersonNode]
2021-02-24 10:22:10,989  root       DEBUG   Importing module [programy.parser.template.nodes.person]
2021-02-24 10:22:10,990  root       DEBUG   Instantiating class [TemplatePersonNode]
2021-02-24 10:22:10,990  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.person2.TemplatePerson2Node]
2021-02-24 10:22:10,990  root       DEBUG   Processor path [programy.parser.template.nodes.person2.TemplatePerson2Node]
2021-02-24 10:22:10,990  root       DEBUG   Importing module [programy.parser.template.nodes.person2]
2021-02-24 10:22:10,992  root       DEBUG   Instantiating class [TemplatePerson2Node]
2021-02-24 10:22:10,992  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.gender.TemplateGenderNode]
2021-02-24 10:22:10,992  root       DEBUG   Processor path [programy.parser.template.nodes.gender.TemplateGenderNode]
2021-02-24 10:22:10,992  root       DEBUG   Importing module [programy.parser.template.nodes.gender]
2021-02-24 10:22:10,993  root       DEBUG   Instantiating class [TemplateGenderNode]
2021-02-24 10:22:10,993  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.sr.TemplateSrNode]
2021-02-24 10:22:10,993  root       DEBUG   Processor path [programy.parser.template.nodes.sr.TemplateSrNode]
2021-02-24 10:22:10,993  root       DEBUG   Importing module [programy.parser.template.nodes.sr]
2021-02-24 10:22:10,994  root       DEBUG   Instantiating class [TemplateSrNode]
2021-02-24 10:22:10,994  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.id.TemplateIdNode]
2021-02-24 10:22:10,994  root       DEBUG   Processor path [programy.parser.template.nodes.id.TemplateIdNode]
2021-02-24 10:22:10,994  root       DEBUG   Importing module [programy.parser.template.nodes.id]
2021-02-24 10:22:10,995  root       DEBUG   Instantiating class [TemplateIdNode]
2021-02-24 10:22:10,995  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.size.TemplateSizeNode]
2021-02-24 10:22:10,995  root       DEBUG   Processor path [programy.parser.template.nodes.size.TemplateSizeNode]
2021-02-24 10:22:10,995  root       DEBUG   Importing module [programy.parser.template.nodes.size]
2021-02-24 10:22:10,997  root       DEBUG   Instantiating class [TemplateSizeNode]
2021-02-24 10:22:10,997  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.vocabulary.TemplateVocabularyNode]
2021-02-24 10:22:10,997  root       DEBUG   Processor path [programy.parser.template.nodes.vocabulary.TemplateVocabularyNode]
2021-02-24 10:22:10,997  root       DEBUG   Importing module [programy.parser.template.nodes.vocabulary]
2021-02-24 10:22:10,999  root       DEBUG   Instantiating class [TemplateVocabularyNode]
2021-02-24 10:22:10,999  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.eval.TemplateEvalNode]
2021-02-24 10:22:10,999  root       DEBUG   Processor path [programy.parser.template.nodes.eval.TemplateEvalNode]
2021-02-24 10:22:10,999  root       DEBUG   Importing module [programy.parser.template.nodes.eval]
2021-02-24 10:22:11,001  root       DEBUG   Instantiating class [TemplateEvalNode]
2021-02-24 10:22:11,001  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.explode.TemplateExplodeNode]
2021-02-24 10:22:11,001  root       DEBUG   Processor path [programy.parser.template.nodes.explode.TemplateExplodeNode]
2021-02-24 10:22:11,001  root       DEBUG   Importing module [programy.parser.template.nodes.explode]
2021-02-24 10:22:11,002  root       DEBUG   Instantiating class [TemplateExplodeNode]
2021-02-24 10:22:11,002  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.implode.TemplateImplodeNode]
2021-02-24 10:22:11,002  root       DEBUG   Processor path [programy.parser.template.nodes.implode.TemplateImplodeNode]
2021-02-24 10:22:11,002  root       DEBUG   Importing module [programy.parser.template.nodes.implode]
2021-02-24 10:22:11,003  root       DEBUG   Instantiating class [TemplateImplodeNode]
2021-02-24 10:22:11,003  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.program.TemplateProgramNode]
2021-02-24 10:22:11,003  root       DEBUG   Processor path [programy.parser.template.nodes.program.TemplateProgramNode]
2021-02-24 10:22:11,003  root       DEBUG   Importing module [programy.parser.template.nodes.program]
2021-02-24 10:22:11,004  root       DEBUG   Instantiating class [TemplateProgramNode]
2021-02-24 10:22:11,004  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.lowercase.TemplateLowercaseNode]
2021-02-24 10:22:11,004  root       DEBUG   Processor path [programy.parser.template.nodes.lowercase.TemplateLowercaseNode]
2021-02-24 10:22:11,004  root       DEBUG   Importing module [programy.parser.template.nodes.lowercase]
2021-02-24 10:22:11,006  root       DEBUG   Instantiating class [TemplateLowercaseNode]
